data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;56;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;56;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;62;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;63;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;70;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;121;21;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;101;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;97;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;78;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;85;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;71;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;69;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;241;100;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;236;110;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;226;83;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;182;50;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;212;85;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;189;59;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;186;54;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;200;66;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;194;64;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;189;58;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;154;36;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;185;56;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;144;24;;;;;;;;;;;;;;;;;;;;;
